catalog_products(2)
Id,fieldType,Tittle,Link,description,image_link,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,availability,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_b4e7d434-49af-7d83-82b5-fdf6e648ea52,Product,Merlots,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,<p>Made out of Polymer Clay</p><p>&nbsp;</p><p>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_f04f3c3c08ae4335a56e4a7bd15f48c3~mv2.jpg;b09bd3_580b98df96954684bc63b0a152a98050~mv2.jpg,Earrings;New Items,,,14,,true,PERCENT,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2aded3e0-6a40-c7c0-1d82-f74446ee7e38,Product,Monet's Garden,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,<p>Made out of Polymer Clay</p><p>&nbsp;</p><p>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_d2f1d96f92b2420d807879fa637d6a79~mv2.jpg;b09bd3_56bb7e2acf814ef78494bb5b1b0ca50f~mv2.jpg,Earrings;New Items,,,18,,true,PERCENT,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8bd2936f-7985-eac6-f98e-4c15c8888543,Product,Sparkling Rose,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,<p>Made out of Polymer Clay</p><p>&nbsp;</p><p>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_7fa865da43a24aac8d3d295cd0b9ec49~mv2.jpg;b09bd3_4195812c4e9a460a8b9dd92e7be9cf86~mv2.jpg,Earrings;New Items,,,14,,true,PERCENT,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ca185b35-117b-4c3c-e495-fe4c0ba97700,Product,Pink Flamingos,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,<p>Made out of Polymer Clay<br><br>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_a8f86a5f3df44f6aab16d6f1b628a481~mv2.png,Earrings;New Items,,,12,,true,PERCENT,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1ce611e9-429e-7b24-8901-7562f0ad0f53,Product,Pink Ladies,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,<p>Made out of Polymer Clay</p><p>&nbsp;</p><p>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_1d6822c1b2a5485b9f62ec5add99a3ee~mv2.jpg;b09bd3_63853610dc494928b2919bbb1a3fb851~mv2.jpg,Earrings;New Items,,,12,,true,PERCENT,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1d89c792-4f33-1b92-7a33-0e2a1c36f845,Product,Crimson Roses,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,<p>Made out of Polymer Clay<br><br>14K Gold Plated Backing &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_99c251df46c5498a8367b3ed12791c2e~mv2.jpg,Earrings;New Items,,,16,,true,PERCENT,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_68a15477-d50a-f916-fbc0-134303354b7b,Product,Luna Rose,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,<p>Made out of Polymer Clay &amp; hand painted<br><br>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_a70cc84687cc4c1a8b3f48a844324552~mv2.jpg;b09bd3_f935412a35534e29b3961ce6d5658d58~mv2.jpg,Earrings;New Items,,,23,,true,PERCENT,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_76964644-4ef7-6e19-7ec3-0121a9ae97b1,Product,Chocolate Bar Notepad,https://www.kateandkrisshop.com/product-page/chocolate-bar-notebook,"<p>Chocolate Bar Notepad </p><p>Professionally Printed</p><p> 5.5” X&nbsp; 5. 5""</p><p>50 sheets</p>",b09bd3_69b3a3d88f3c48f1946a13e9f40d8206~mv2.jpg;b09bd3_ea38db8fe44243e1a913847cf1eedb77~mv2.jpg;b09bd3_7bb25e46b77c4dbb82e14fec378d4624~mv2.jpg;b09bd3_b4b7276191e14c1ab853641abbb3a3e9~mv2.jpg;b09bd3_57a38981cc84425bac0793d980426c3f,New Items;Stationary;Notepads;WHOLESALE,,,11,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a8e518d5-8174-940e-3ccf-e9c26d202ae2,Product,Blue Cloud Notepad,https://www.kateandkrisshop.com/product-page/blue-cloud-notebook,"<p>Blue Cloud Notepad </p><p>Professionally Printed</p><p> 5.5” X&nbsp; 5. 5""</p><p>50 sheets</p>",b09bd3_fbebad65d62a406ea92e705e2720c799~mv2.jpg;b09bd3_7bb25e46b77c4dbb82e14fec378d4624~mv2.jpg;b09bd3_db57ca7265ff4fc1bb27ac2acf1008c1~mv2.jpg;b09bd3_6331c490e8fc4b1b94d0a2c610f520b7,New Items;Stationary;Notepads;WHOLESALE,,,11,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3f2afeb8-cf7c-6477-67f6-9d9881e61246,Product,Rainbow Cloud Notepad,https://www.kateandkrisshop.com/product-page/rainbow-cloud-notepad,"<p>Rainbow Cloud Notepad </p><p>Professionally Printed</p><p> 5.5” X&nbsp; 5. 5""</p><p>50 sheets</p>",b09bd3_160b7b459d93498fb8c7a669f1ca4604~mv2.jpg;b09bd3_34db215ae24a4705991749b07af549b4~mv2.jpg;b09bd3_05593c649c614292861e3c7ab44f4942~mv2.jpg;b09bd3_78a0004505d74389b829117fcc443c9a,New Items;Stationary;Notepads;WHOLESALE,,,11,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
